"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLICEUS","197705","27.165","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197706","26.32","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197707","25.424","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197708","24.248","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197709","23.63","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197710","26.459","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197711","26.295","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197712","26.947","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197713","318.358","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197801","23.994","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197802","19.438","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197803","19.091","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197804","24.855","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197805","26.447","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197806","26.027","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197807","26.366","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197808","26.175","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197809","26.753","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197810","27.875","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197811","28.227","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197812","30.52","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
